1;1;1;1
1;2;0;1
1;3;0;1
1;4;0;1
2;1;1;2
2;2;0;2
2;3;0;2
2;4;0;2
3;1;1;3
3;2;0;3
3;3;0;3
3;4;0;3
4;1;1;4
4;2;0;4
4;3;0;4
4;4;0;4
5;1;1;5
5;2;0;5
5;3;0;5
5;4;0;5
6;1;1;6
6;2;0;6
6;3;0;6
6;4;0;6
7;1;1;7
7;2;0;7
7;3;0;7
7;4;0;7
8;1;1;8
8;2;0;8
8;3;0;8
8;4;0;8
9;1;1;9
9;2;0;9
9;3;0;9
9;4;0;9
10;1;1;10
10;2;0;10
10;3;0;10
10;4;0;10
11;1;1;11
11;2;0;11
11;3;0;11
11;4;0;11
12;1;1;12
12;2;0;12
12;3;0;12
12;4;0;12
13;1;1;13
13;2;0;13
13;3;0;13
13;4;0;13
14;1;1;14
14;2;0;14
14;3;0;14
14;4;0;14
15;1;1;15
15;2;0;15
15;3;0;15
15;4;0;15
16;1;1;16
16;2;0;16
16;3;0;16
16;4;0;16
17;1;1;17
17;2;0;17
17;3;0;17
17;4;0;17
18;1;1;18
18;2;0;18
18;3;0;18
18;4;0;18
19;1;1;19
19;2;0;19
19;3;0;19
19;4;0;19
20;1;1;20
20;2;0;20
20;3;0;20
20;4;0;20
21;1;1;21
21;2;0;21
21;3;0;21
21;4;0;21
22;1;1;22
22;2;0;22
22;3;0;22
22;4;0;22
23;1;1;23
23;2;0;23
23;3;0;23
23;4;0;23
24;1;1;24
24;2;0;24
24;3;0;24
24;4;0;24
25;1;1;25
25;2;0;25
25;3;0;25
25;4;0;25
26;1;1;26
26;2;0;26
26;3;0;26
26;4;0;26
27;1;1;27
27;2;0;27
27;3;0;27
27;4;0;27
28;1;1;28
28;2;0;28
28;3;0;28
28;4;0;28
29;1;1;29
29;2;0;29
29;3;0;29
29;4;0;29
30;1;1;30
30;2;0;30
30;3;0;30
30;4;0;30
31;1;1;31
31;2;0;31
31;3;0;31
31;4;0;31
32;1;1;32
32;2;0;32
32;3;0;32
32;4;0;32
33;1;1;33
33;2;0;33
33;3;0;33
33;4;0;33
34;1;1;34
34;2;0;34
34;3;0;34
34;4;0;34
35;1;1;35
35;2;0;35
35;3;0;35
35;4;0;35
36;1;1;36
36;2;0;36
36;3;0;36
36;4;0;36
37;1;1;37
37;2;0;37
37;3;0;37
37;4;0;37
38;1;1;38
38;2;0;38
38;3;0;38
38;4;0;38
39;1;1;39
39;2;0;39
39;3;0;39
39;4;0;39
40;1;1;40
40;2;0;40
40;3;0;40
40;4;0;40
41;1;1;41
41;2;0;41
41;3;0;41
41;4;0;41
42;1;1;42
42;2;0;42
42;3;0;42
42;4;0;42
43;1;1;43
43;2;0;43
43;3;0;43
43;4;0;43
44;1;1;44
44;2;0;44
44;3;0;44
44;4;0;44
45;1;1;45
45;2;0;45
45;3;0;45
45;4;0;45
46;1;1;46
46;2;0;46
46;3;0;46
46;4;0;46
47;1;1;47
47;2;0;47
47;3;0;47
47;4;0;47
48;1;1;48
48;2;0;48
48;3;0;48
48;4;0;48
49;1;1;49
49;2;0;49
